,AppStore,2022-09-05,
4.793388429752066,AppStore,2022-09-06,
4.926940639269406,AppStore,2022-09-07,
4.926966292134831,AppStore,2022-09-08,
4.904509283819628,AppStore,2022-09-09,
4.85,AppStore,2022-09-10,
4.935114503816794,AppStore,2022-09-11,
4.933168316831683,AppStore,2022-09-12,
4.842794759824311,AppStore,2022-09-13,
4.920103092784105,AppStore,2022-09-14,
4.908284023668639,AppStore,2022-09-15,
4.911051212938006,AppStore,2022-09-19,
4.877813504822402,AppStore,2022-09-20,
4.89010989011021,AppStore,2022-09-23,
4.888728323699422,AppStore,2022-09-26,
4.913,AppStore,2022-09-30,
4.890377588306659,AppStore,2022-10-02,
4.943548387098652,AppStore,2022-10-03,
4.864768683274021,AppStore,2022-10-04,
4.927203065134099,AppStore,2022-10-05,
4.914209115281501,AppStore,2022-10-06,
4.822580645162542,AppStore,2022-10-07,
4.694599627560304,AppStore,2022-10-10,
4.779005524861878,AppStore,2022-10-11,
4.728706624605678,AppStore,2022-10-12,
4.801369863013699,AppStore,2022-10-13,
4.838259000537345,AppStore,2022-10-17,
4.906040268455855,AppStore,2022-10-18,
4.94615384615504,AppStore,2022-10-19,
4.890577507598077,AppStore,2022-10-20,
4.809384164222874,AppStore,2022-10-21,
4.884912959381045,AppStore,2022-10-24,
4.895691609977324,AppStore,2022-10-25,
4.695652173913044,AppStore,2022-10-26,
4.81742738589115,AppStore,2022-10-27,
4.908730158731083,AppStore,2022-10-28,
4.869517543859905,AppStore,2022-10-31,
4.830083565458962,AppStore,2022-11-01,
4.932907348242812,AppStore,2022-11-02,
4.82383665716999,AppStore,2022-11-07,
4.966292134831461,AppStore,2022-11-08,
4.871323529411764,AppStore,2022-11-09,
4.882022471910767,AppStore,2022-11-10,
4.887530562347188,AppStore,2022-11-11,
4.780568407137983,AppStore,2022-11-14,
4.795081967213115,AppStore,2022-11-15,
4.824427480916031,AppStore,2022-11-16,
4.759322033898305,AppStore,2022-11-17,
4.726618705035971,AppStore,2022-11-18,
4.853974121996303,AppStore,2022-11-19,
4.868715083798882,AppStore,2022-11-20,
4.742,GooglePlay,2022-11-21,
4.747747747747049,AppStore,2022-11-21,
4.83,GooglePlay,2022-11-22,
4.864919354839179,AppStore,2022-11-22,
4.868347338935574,AppStore,2022-11-23,
4.835,GooglePlay,2022-11-23,
4.870813397129186,AppStore,2022-11-24,
4.853,GooglePlay,2022-11-24,
4.862068965517241,AppStore,2022-11-25,
4.841,GooglePlay,2022-11-25,
4.803,GooglePlay,2022-11-26,
4.859644600868477,AppStore,2022-11-26,
4.824,GooglePlay,2022-11-27,
4.846207134155199,AppStore,2022-11-27,
4.930364372469636,AppStore,2022-11-28,
4.694,GooglePlay,2022-11-28,
4.909492273730685,AppStore,2022-11-29,
4.716,GooglePlay,2022-11-29,
4.945714285714286,AppStore,2022-11-30,
4.773,GooglePlay,2022-11-30,
4.672,GooglePlay,2022-12-01,
4.89375,AppStore,2022-12-01,
4.896713615022928,AppStore,2022-12-02,
4.662,GooglePlay,2022-12-02,
4.907252478754085,AppStore,2022-12-03,
4.612,GooglePlay,2022-12-03,
4.867588932806324,AppStore,2022-12-04,
4.609,GooglePlay,2022-12-04,
4.931677018634264,AppStore,2022-12-05,
4.69,GooglePlay,2022-12-05,
4.911392405063292,AppStore,2022-12-06,
4.678,GooglePlay,2022-12-06,
4.846743295019157,AppStore,2022-12-07,
4.691,GooglePlay,2022-12-07,
4.992452830188679,AppStore,2022-12-08,
4.341,GooglePlay,2022-12-08,
4.5,GooglePlay,2022-12-09,
4.916554331129912,AppStore,2022-12-09,
4.958907539616727,AppStore,2022-12-10,
4.506,GooglePlay,2022-12-10,
4.606382978723405,AppStore,2022-12-11,
4.728,GooglePlay,2022-12-11,
4.788918205804749,AppStore,2022-12-12,
4.468,GooglePlay,2022-12-12,
4.658,GooglePlay,2022-12-13,
4.685714285714286,AppStore,2022-12-13,
4.800623052960227,AppStore,2022-12-14,
4.633,GooglePlay,2022-12-14,
4.792857142856311,AppStore,2022-12-15,
4.689,GooglePlay,2022-12-15,
4.77,GooglePlay,2022-12-16,
4.715753424657534,AppStore,2022-12-16,
4.7535561493535,AppStore,2022-12-17,
