в последней доставке не был доставлен подарок (плащ дождевик|3|2023-11-21,17:11:36|ru|GooglePlay|NEGATIVE|"[-0.0460248,0.15513282,0.0410977,-0.05186691,-0.08947285,0.12542406,-0.17018622,0.15937042,0.03455665,0.10769372,0.04995473,-0.13671124,0.02803506,-0.09865671,0.02280476,0.07276492,0.00934313,0.05441487,0.03646046,-0.08598076,0.04301222,0.2570926,0.08800718,-0.01798386,0.0119114,0.13532403,0.13006246,0.11842593,-0.18249993,-0.00458965,0.03007322,-0.00275089,0.00857495,-0.12364925,0.18388562,-0.06121232,-0.07371616,0.08545385,0.04786738,0.01461341,-0.11100956,-0.01580629,0.02469981,0.21247225,-0.03182885,-0.04657584,-0.16490087,0.07612441,0.05751714,-0.00326445,0.16348366,-0.02443471,0.122365,-0.01043633,-0.00398772,-0.14815293,-0.03570782,0.0498778,-0.01324087,0.04567077,0.07757419,0.05969718,0.06891932,-0.06898496,0.13246647,-0.09510376,-0.02874703,0.1896094,0.1343919,0.06270226,-0.01320046,0.22893946,-0.05523416,-0.11603327,-0.13501482,-0.05999028,0.12142405,-0.15153374,0.13789015,0.07939319,0.0231007,0.0755299,0.10579589,0.31938052,0.05529119,-0.00855146,-0.01406317,-0.03873274,0.00380109,0.05083498,0.05265349,-0.08973841,-0.03350947,0.06142273,-0.01758876,0.07569034,-0.02206659,-0.05260041,0.14441785,-0.04458758]"
Что с приложением? Каталог не открывается. При попытке ввести адрес доставки долго висит, затем вылетает! Вам не нужны клиенты что ли? Предлагать переустановить не нужно - только сегодня скачала. Делайте свою работу нормально, чтобы все работало!|1|2023-11-21,16:46:16|ru|GooglePlay|NEGATIVE|"[-0.04565326,0.15543886,0.04194366,-0.05148614,-0.08871692,0.12617613,-0.16983335,0.15999115,0.03394574,0.10738944,0.04882603,-0.13794303,0.02693544,-0.09814065,0.02416317,0.07328805,0.00978814,0.05383223,0.03571766,-0.0859038,0.04338381,0.25609484,0.08867638,-0.01808997,0.01167627,0.1348343,0.13000327,0.11822617,-0.18237135,-0.00391746,0.03014576,-0.00363273,0.00826813,-0.12232014,0.18421537,-0.06023774,-0.07367681,0.08512993,0.04788576,0.01532953,-0.11011006,-0.01561883,0.02459209,0.2130589,-0.03182944,-0.04642635,-0.1640678,0.07572577,0.0580143,-0.00336856,0.16397169,-0.02437652,0.12202118,-0.01018121,-0.00369118,-0.14809096,-0.03542352,0.04995524,-0.01301736,0.04570066,0.07823481,0.05930867,0.0699027,-0.06978922,0.1318523,-0.09602764,-0.02913183,0.18991035,0.1345022,0.06248232,-0.01290315,0.22986211,-0.05513136,-0.11661478,-0.13507442,-0.05866881,0.12185894,-0.15188274,0.13917409,0.07901519,0.0232542,0.07551234,0.10718728,0.3185868,0.05586761,-0.00783402,-0.0151109,-0.03865895,0.00381186,0.05207274,0.05255565,-0.08995945,-0.03345405,0.06125184,-0.01817129,0.07512078,-0.02082188,-0.05292263,0.14379475,-0.04397165]"
Магазин нравится. Но хотелось бы функцию с отзывами на товары, оставлять отзыв на каждый товар и при этом иметь возможность смотреть отзывы других покупателей.|4|2023-11-21,10:42:48|ru|GooglePlay|POSITIVE|"[-0.04558751,0.1554765,0.04183425,-0.05144574,-0.08910151,0.12624235,-0.16979112,0.15953024,0.03377609,0.107582,0.048907,-0.13795674,0.02708174,-0.09813406,0.02401644,0.07311441,0.00998813,0.05377945,0.03569557,-0.08568153,0.04356438,0.25643376,0.08838104,-0.01866927,0.01164959,0.13474679,0.13034463,0.11821155,-0.18212032,-0.00423743,0.02997702,-0.00382238,0.00807209,-0.12276179,0.18420655,-0.06040692,-0.07368542,0.08558097,0.04821138,0.01499765,-0.11000454,-0.01562863,0.02475206,0.2128295,-0.03192423,-0.04619387,-0.16425624,0.07570259,0.05816868,-0.00311663,0.16372527,-0.0246372,0.12207232,-0.01007566,-0.00361111,-0.14812778,-0.03547519,0.04985814,-0.01279733,0.04566627,0.07845659,0.05962808,0.06936293,-0.0694193,0.13189086,-0.09608644,-0.02860388,0.18952523,0.13482267,0.06278044,-0.0130047,0.22973868,-0.05508886,-0.1165025,-0.13487783,-0.05877239,0.12151622,-0.15154277,0.13898048,0.07870279,0.02299187,0.07603797,0.106815,0.31923893,0.05560635,-0.00814999,-0.01514211,-0.0388033,0.00415383,0.05193331,0.05245866,-0.08979045,-0.03368417,0.06148027,-0.01859301,0.07504566,-0.02110966,-0.05306098,0.14371032,-0.04404142]"
После обновления, не могу зайти в приложение|1|2023-11-21,10:11:50|ru|GooglePlay|NEUTRAL|"[-0.04468429,0.15592943,0.04265083,-0.05192435,-0.08844449,0.1266318,-0.1701245,0.15993536,0.0338757,0.1077279,0.0480663,-0.1378948,0.02661922,-0.09705241,0.02377532,0.07341605,0.0094877,0.05310662,0.03543914,-0.08644351,0.04304761,0.25610596,0.08947466,-0.01830371,0.01194603,0.13432065,0.1296821,0.11677041,-0.18200023,-0.00443776,0.02946834,-0.00360554,0.00834589,-0.12197097,0.18485452,-0.05925072,-0.07316946,0.08577088,0.0479564,0.01589956,-0.1101839,-0.01453488,0.02426829,0.2130723,-0.03103748,-0.04546063,-0.16350617,0.07535656,0.05746434,-0.00324269,0.16389444,-0.02391403,0.12157001,-0.00868951,-0.00438471,-0.14729825,-0.03479687,0.04980741,-0.01308639,0.04578928,0.07847198,0.05957925,0.0714656,-0.07091279,0.13279027,-0.09672613,-0.02965457,0.19075409,0.13397406,0.06225521,-0.01310027,0.2306482,-0.05497916,-0.11649027,-0.13563438,-0.05887931,0.12173961,-0.15190594,0.14037934,0.07880361,0.02416428,0.07507351,0.10806221,0.31793,0.05617632,-0.00827921,-0.01604547,-0.03840107,0.00372026,0.05157669,0.05234784,-0.08961587,-0.03430917,0.06057817,-0.01852124,0.07472207,-0.02091748,-0.05309698,0.14352769,-0.04460353]"
"Стабильности в работе приложения нет от слова совсем. Очень часто выдаёт ""Что-то пошло не так"". После такого уведомления войти в приложение получается только переустановив его. Торможения и ошибки случаются часто. Не могла удалить сегодня товар с корзины/повторно его добавить, приложение просто зависало и не выполняло команду, пришлось переустанавливать, а через пару часов после переустановки вылезло уведомление ""Что-то пошло не так"", снова нужно было переустанавливать."|1|2023-11-21,08:53:15|ru|GooglePlay|NEGATIVE|"[-0.04563187,0.15583728,0.04196704,-0.05151958,-0.08890855,0.1262255,-0.16989578,0.15984261,0.03404237,0.10740989,0.04837496,-0.1381667,0.02664605,-0.09774439,0.02429861,0.07332751,0.00992282,0.05352602,0.03546602,-0.08563077,0.043435,0.25618422,0.08896884,-0.01835939,0.01161555,0.13445196,0.1301481,0.11824662,-0.18225461,-0.0044439,0.03014994,-0.00364383,0.00809682,-0.12232712,0.18462817,-0.06009363,-0.07387281,0.08565954,0.04792783,0.01541073,-0.10997226,-0.01557869,0.02479443,0.21292451,-0.03154403,-0.04595766,-0.1637024,0.07547778,0.05782066,-0.0031709,0.16376984,-0.02432816,0.12181551,-0.00986433,-0.00385037,-0.147689,-0.03518874,0.0502783,-0.01326991,0.04548339,0.07863411,0.05930865,0.07001966,-0.07008063,0.13227083,-0.09604446,-0.02896942,0.18994378,0.13466446,0.06189022,-0.01269567,0.23006845,-0.05494556,-0.11634003,-0.1351168,-0.05863649,0.12160888,-0.15210976,0.1395206,0.07890008,0.02353628,0.07579987,0.10737416,0.31859583,0.05588779,-0.00825153,-0.01525359,-0.03871915,0.00417196,0.05194125,0.05226966,-0.08969786,-0.03377376,0.06109135,-0.01839786,0.07481532,-0.02080823,-0.05310637,0.14367612,-0.0439416 ]"
"Добрый день! Приложение удобное в использовании. Проживаю за 10.,км он города и даже сюда довольно быстро доставляются заказы. Но в последнее время приложение отказывается работать. Постоянно вылезает надпись ""Что-то пошло не так"" или при выборе фильтров просто зависает и не выбирается. Как решить данную проблему? Переустановка приложения решила проблему, спасибо!"|4|2023-11-21,08:42:31|ru|GooglePlay|NEGATIVE|"[-0.04524793,0.15291758,0.03980071,-0.04930238,-0.08342632,0.1274356,-0.16283724,0.15790132,0.03559807,0.1045071,0.05023818,-0.13211413,0.02519079,-0.09201589,0.02378412,0.0759864,0.00988884,0.05244189,0.03936438,-0.07860362,0.04440191,0.24932021,0.08155514,-0.01335667,0.01486435,0.13009548,0.12064369,0.11424362,-0.17932636,0.00062815,0.0289019,-0.00787932,0.00490347,-0.1168456,0.18462281,-0.05281483,-0.07084048,0.07735124,0.04680018,0.01072214,-0.1107251,-0.01996512,0.01900364,0.20242198,-0.0277363,-0.04167087,-0.16405682,0.07603469,0.05306511,0.00056328,0.16108257,-0.02067225,0.11989436,-0.01145635,0.00093908,-0.14700043,-0.03853253,0.04888957,-0.01303785,0.04764632,0.07308681,0.06044129,0.0645406,-0.06553313,0.12170245,-0.09541942,-0.03435188,0.18019052,0.12857583,0.06047469,-0.0143732,0.21954244,-0.05011254,-0.11569709,-0.13038187,-0.06063916,0.12199903,-0.14210719,0.13325368,0.07232999,0.02656247,0.07824933,0.10718916,0.31347135,0.05935493,-0.00781207,-0.0124744,-0.03403591,0.00345406,0.04792406,0.0500695,-0.09061957,-0.03279439,0.06358151,-0.02194732,0.06875908,-0.02379403,-0.05155688,0.13937294,-0.04059678]"
Каталог не открывается. Переустановка не помогла.|1|2023-11-21,07:56:23|ru|GooglePlay|NEUTRAL|"[-0.04569488,0.15572609,0.04219158,-0.05130488,-0.08889611,0.12662484,-0.17027825,0.15980175,0.03343207,0.10737403,0.04832589,-0.13804065,0.0263683,-0.09763124,0.0246566,0.07328318,0.01007166,0.05407275,0.03586334,-0.08623703,0.04360241,0.2557693,0.08892022,-0.01871348,0.0117294,0.13454685,0.13003847,0.11808185,-0.18200344,-0.00423576,0.03033146,-0.0037179,0.00802773,-0.122169,0.18491046,-0.05978151,-0.07415651,0.08572359,0.047994,0.01554494,-0.10975822,-0.01609548,0.02505913,0.21250288,-0.03171636,-0.04600675,-0.16399688,0.07600799,0.05798055,-0.00333495,0.16409732,-0.02470576,0.12170509,-0.00957423,-0.00342597,-0.14750172,-0.03517774,0.05016419,-0.01294876,0.04528011,0.07906816,0.05925257,0.07052969,-0.07010894,0.1319331,-0.09644429,-0.02860694,0.1898919,0.13445562,0.06237222,-0.01275512,0.2300897,-0.05482787,-0.11648251,-0.13493434,-0.05870288,0.1213403,-0.15181589,0.13940543,0.07891621,0.02360145,0.07581598,0.10750256,0.31854036,0.05597265,-0.00795261,-0.01547434,-0.03885933,0.00390512,0.0525026,0.05248366,-0.08955462,-0.03388105,0.06150284,-0.01861163,0.07471994,-0.02051259,-0.05309599,0.14339727,-0.04438933]"
Когда приложение будет работать нормально? Последние 4 месяца чтобы войти в приложение нужно переустановить. Потому что что-то пошло не так.|1|2023-11-21,04:25:06|ru|GooglePlay|NEGATIVE|"[-0.04516588,0.15584897,0.04229896,-0.051231,-0.08885245,0.12663715,-0.1699841,0.15978134,0.03398808,0.1069219,0.04886603,-0.13784692,0.02656232,-0.09714207,0.02454585,0.07316955,0.01003811,0.05367405,0.03579806,-0.08589514,0.0431876,0.25630495,0.08897772,-0.01836675,0.01165784,0.1339679,0.13028765,0.11848636,-0.18179975,-0.0045302,0.03043382,-0.00383865,0.00807991,-0.12196019,0.18483463,-0.05958346,-0.07343438,0.08526739,0.04818861,0.01542023,-0.11036505,-0.0157719,0.02464902,0.2124472,-0.03086624,-0.04571576,-0.1642179,0.07566485,0.05786905,-0.00333491,0.1643408,-0.02419916,0.12168121,-0.00911014,-0.00420482,-0.14710602,-0.03507198,0.05014469,-0.01298129,0.04567377,0.07828855,0.05914742,0.07101199,-0.07051974,0.13165866,-0.09638899,-0.02938939,0.19029123,0.1346124,0.06229017,-0.01247566,0.23045039,-0.05512507,-0.11608706,-0.13484652,-0.05879054,0.12138727,-0.15174083,0.13999923,0.07921799,0.02330579,0.07576548,0.10764699,0.31867614,0.05593508,-0.00779482,-0.01543341,-0.0385783,0.00349323,0.05254248,0.05221763,-0.08942678,-0.0340382,0.06055322,-0.01820851,0.07494309,-0.02074079,-0.05325126,0.14367387,-0.04437149]"
Меняю оценку, всё починили. Работает хорошо, даже систему отзывов добавили, супер)|5|2023-11-20,16:14:33|ru|GooglePlay|POSITIVE|"[-0.04637815,0.1563059,0.04156473,-0.05084064,-0.0880992,0.12612614,-0.16995114,0.16081798,0.03329118,0.10782737,0.04883115,-0.13711645,0.02669335,-0.09786683,0.02405101,0.07292593,0.00991805,0.05408298,0.0364581,-0.08586298,0.04217022,0.2569573,0.08854567,-0.01870812,0.0117781,0.1339881,0.13030723,0.11829368,-0.18224992,-0.00536984,0.03048989,-0.00322229,0.00842764,-0.12231798,0.18388003,-0.06052047,-0.07289488,0.08506239,0.04839603,0.01519317,-0.10937869,-0.01589515,0.02570899,0.21257782,-0.03116981,-0.04624293,-0.1648462,0.07599049,0.05816866,-0.00354376,0.16314587,-0.02515443,0.12113263,-0.01013759,-0.00381686,-0.14845516,-0.03645289,0.05055386,-0.01326686,0.04488464,0.07964796,0.05949817,0.06907149,-0.07006852,0.13038564,-0.09555121,-0.02953432,0.1891957,0.13521367,0.06288511,-0.01261747,0.23022062,-0.05597269,-0.11664539,-0.1334694,-0.05838581,0.12070285,-0.15188986,0.13902602,0.07838772,0.02314091,0.07542504,0.10706617,0.31898645,0.0563601,-0.00793178,-0.01658215,-0.03943131,0.00476952,0.0517405,0.05246397,-0.09013801,-0.03415221,0.06103919,-0.01773404,0.07534284,-0.02098369,-0.05425555,0.14494056,-0.04367513]"
Условия для новых покупателей как я неприятные. Сначала хотел купить на 30.,, потом передумал. Впервые покупаю через приложение - никаких промокодов на скидку или спец предложений. даже в ЧП никаких допов. Просто лохов стригут|2|2023-11-20,01:49:55|ru|GooglePlay|POSITIVE|"[-0.04577134,0.15628336,0.04135784,-0.05113921,-0.08877505,0.12660299,-0.1697135,0.15997209,0.03356588,0.10746145,0.04971953,-0.1381079,0.02709024,-0.09798453,0.02398325,0.07367267,0.01019912,0.05375623,0.03583381,-0.08614656,0.04331111,0.2567966,0.08889095,-0.01842999,0.01186231,0.1343862,0.12931633,0.11915239,-0.18238156,-0.0041,0.0301655,-0.00396108,0.00786611,-0.12203684,0.18377881,-0.06036918,-0.0736458,0.08510682,0.04780742,0.01555116,-0.11014953,-0.01600646,0.02493353,0.21212693,-0.03217748,-0.04625843,-0.1646996,0.07546257,0.05740306,-0.00424754,0.16365705,-0.0246164,0.12228836,-0.01000497,-0.00328226,-0.14829521,-0.03559684,0.05070487,-0.01243442,0.04539641,0.07821921,0.05959766,0.06938561,-0.06968005,0.13156314,-0.09555655,-0.02861746,0.1894423,0.13484348,0.06240677,-0.01280351,0.22925678,-0.05575905,-0.11690784,-0.1350971,-0.05907704,0.12186753,-0.15142058,0.1386748,0.07862333,0.02255472,0.07563215,0.10669271,0.31914607,0.05561821,-0.00809959,-0.01564299,-0.03861392,0.00435821,0.05175377,0.05242993,-0.09020979,-0.03325738,0.06137103,-0.01787947,0.07421368,-0.0208052,-0.05360163,0.14412394,-0.04371301]"
